URL,Status Code,Title,Title Length,Meta Description,Meta Description Length,Meta Keywords,H1 Count,H1 Text,H2 Count,Response Time (ms),Content Type,Content Length
https://www.madewithnestle.ca/,200,"Nestlé Brands' Products, Recipes and News | Made With Nestlé Canada",67,We make meals and snacks that complement busy days and warm kips to savour with slow moments. We also make nutrition solutions to help you through different life stages.,169,,6,NESCAFÉ Espresso Concentrate,15,799,text/html; charset=UTF-8,214482
https://www.madewithnestle.ca/hd-en,200,HÄAGEN-DAZS Ice Cream | Proudly Made in Canada,46,Discover all of our dairy & non-dairy ice cream flavours and bars and take indulgence to the next level HÄAGEN-DAZS Exträaz. All made with 100% Canadian dairy.,159,"haagen-dazs,ice_cream,english",2,60 years,5,646,text/html; charset=UTF-8,258548
https://www.madewithnestle.ca/nestle-cookies-policy,200,Nestlé Cookies Policy | Made With Nestlé Canada,47,"What are Cookies? When visiting Nestlé websites, both the site being viewed and third party sites will store small text files on your computer called Cookies.",158,,1,Nestlé Cookie Notice,6,841,text/html; charset=UTF-8,131760
https://www.madewithnestle.ca/recipe/caramel-apple-ice-cream-muffins,200,Caramel Apple Ice Cream Muffins,31,APPLES AND CARAMEL ICE-CREAM MUFFINS,36,,1,Caramel Apple Ice Cream Muffins,3,6073,text/html; charset=UTF-8,3536350
https://www.madewithnestle.ca/recipe/pistachio-and-cocoa-dusted-piccolinos,200,Pistachio & Cocoa Dusted Piccolino Ice Cream Balls Recipe,57,Bite-sized ice cream bites tossed in artisanally inspired dustings of pistachio and cocoa. The flavour possibilities are endless. How will you prepare yours?,157,,1,PISTACHIO AND COCOA DUSTED PICCOLINOS,3,7549,text/html; charset=UTF-8,4866114
https://www.madewithnestle.ca/recipe/meringue-sandwiches-pineapple-coconut-ice-cream,200,Meringue Ice Cream Sandwiches Recipe | Häagen Dazs Canada,57,Refreshing pineapple coconut ice cream sandwiched between two delicate meringue cookies. Makes for a light and fluffy treat that's perfect for summer.,150,,1,Meringue Sandwiches With Pineapple Coconut Ice Cream,3,6737,text/html; charset=UTF-8,4879041
https://www.madewithnestle.ca/privacy-policy,200,Consumer Privacy Notice | Made With Nestlé Canada,49,Privacy summary   Here you will find an overview and summary of how we process your personal information (“Personal Data”) and the purposes for which we process it.,164,,1,Consumer Privacy Notice,0,745,text/html; charset=UTF-8,222095
https://www.madewithnestle.ca/terms-and-conditions,200,Terms and Conditions | Made With Nestlé Canada,46,Please read Terms and Conditions contained in this document carefully since any use of this website constitutes your acceptance of Terms and Conditions set out herein.,167,,1,Terms and Conditions,0,723,text/html; charset=UTF-8,155122
https://www.madewithnestle.ca/cdn-cgi/l/email-protection,200,Email Protection | Cloudflare,29,,0,,1,Email Protection,1,31,text/html; charset=UTF-8,4686
https://www.madewithnestle.ca/sitemap,200,Site Map | Nestlé Canada | Made With Nestlé Canada,50,Sitemap of the madewithnestle.ca website. We make nutrition solutions to help you through different life stages. We make it all with a drive to improve our products.,165,,1,Site Map,5,739,text/html; charset=UTF-8,167236
https://www.madewithnestle.ca/quality-street/quality-street-bag,200,QUALITY STREET Share Bag | Made with nestle,43,"Gift, share, and celebrate with a bag full of tradition. NESTLÉ QUALITY STREET Share Bag includes a decadent mix of imported caramels, crèmes and pralines.",155,,1,QUALITY STREET Share Bag,10,1040,text/html; charset=UTF-8,2070983
https://www.madewithnestle.ca/blog/five-ways-help-beat-stress,200,Five Ways to Help Beat Stress | Made with nestle,48,"We might be in the best time of our lives, but sometimes stress takes over. A little stress can be good because it pushes us to get things done or solve problems. But too much stress can make us feel overwhelmed and unable to handle everyday situations. That's why managing stress is important for our overall health When we start to feel stressed, it's important to have healthy ways to release it. This can help us relax and is good for both our mental and physical health. Five Ways to Take Care of Yourself",510,,1,Five Ways to Help Beat Stress,3,730,text/html; charset=UTF-8,239024
https://www.madewithnestle.ca/recipe/quality-street-khajoor-cake,200,Rich Quality Street Khajoor Cake,32,"Perfect for Iftar, this cake is rich with dates that restore energy after a day of fasting. The chocolates add a wonderful depth and flavour to this cake!",154,,1,Quality Street Khajoor Cake,3,8043,text/html; charset=UTF-8,5126381
